PC,feature,loading,type
PC2,mfcc_max_4,-0.004402295923636923,weak
PC2,mfcc_std_4,-0.00163419714074865,weak
PC4,mfcc_mean_4,-0.0030761085016621547,weak
PC4,mfcc_median_4,-0.0028759469300156204,weak
PC2,mfcc_kurtosis_4,6.597164338901911e-05,weak
PC2,mfcc_kew_5,3.9141049097232814e-05,weak
PC2,mfcc_min_5,0.005387842550102827,weak
PC3,mfcc_max_5,0.002966514134680948,weak
PC2,mfcc_std_5,-0.0014657525258890728,weak
PC3,mfcc_mean_5,0.003087542217996727,weak
PC3,mfcc_median_5,0.003059327955121839,weak
PC4,mfcc_kurtosis_5,0.00011488039024499975,weak
PC4,mfcc_kew_6,-0.00012103113779818209,weak
PC4,mfcc_min_6,-0.007500012235890101,weak
PC4,mfcc_max_6,-0.004286912092402075,weak
PC2,mfcc_std_6,-0.0012474351971189857,weak
PC4,mfcc_mean_6,-0.004851113249587457,weak
PC4,mfcc_median_6,-0.00460136429361214,weak
PC4,mfcc_kurtosis_6,5.8280072603228935e-05,weak
PC4,mfcc_kew_7,-3.98699501871819e-05,weak
PC2,mfcc_min_7,0.003936186325991212,weak
PC3,mfcc_max_7,0.0025736479499525685,weak
PC2,mfcc_std_7,-0.0011585474339986146,weak
PC3,mfcc_mean_7,0.0024654096903373047,weak
PC3,mfcc_median_7,0.0024466737371750193,weak
PC4,mfcc_kurtosis_7,8.71271431427488e-05,weak
PC4,mfcc_kew_8,-9.772695483815924e-05,weak
PC4,mfcc_min_8,-0.006368727720948256,weak
PC4,mfcc_max_8,-0.003850662853562776,weak
PC2,mfcc_std_8,-0.0010130948672300746,weak
PC4,mfcc_mean_8,-0.004034718236582176,weak
PC4,mfcc_median_8,-0.0038697186630690756,weak
PC4,mfcc_kurtosis_8,6.749188429083508e-05,weak
PC4,mfcc_kew_9,-5.7041387632179446e-05,weak
PC2,mfcc_min_9,0.0034644672993186993,weak
PC3,mfcc_max_9,0.002315260165257327,weak
PC2,mfcc_std_9,-0.0008917430685646228,weak
PC3,mfcc_mean_9,0.001955625008106546,weak
PC3,mfcc_median_9,0.00201619937443257,weak
PC3,mfcc_kurtosis_9,6.107269615202845e-05,weak
PC3,mfcc_kew_10,2.7497213173821864e-05,weak
PC2,mfcc_min_10,0.0030209269039639113,weak
PC3,mfcc_max_10,0.0021115388388943763,weak
PC2,mfcc_std_10,-0.0008317089128037693,weak
PC3,mfcc_mean_10,0.0017286743679613755,weak
PC3,mfcc_median_10,0.0017145550994784118,weak
PC4,mfcc_kurtosis_10,4.343973961295047e-05,weak
PC4,mfcc_kew_11,-7.697865054131673e-05,weak
PC4,mfcc_min_11,-0.003291746319235107,weak
PC3,mfcc_max_11,0.0018000365551556659,weak
PC2,mfcc_std_11,-0.0006873986921790055,weak
PC3,mfcc_mean_11,0.0018786137585546704,weak
PC3,mfcc_median_11,0.0019000516016226378,weak
